configuration,seed,confidence_threshold,n_images,n_gt,n_predictions,tp,fp,fn,precision,recall,fp_per_image,no_prediction_fraction,empty_frame_fp_fraction,nonempty_miss_frame_fraction,mean_matched_iou,small_recall,medium_recall,large_recall
additive,40,0.01,708,1770,40673,1313,39360,457,0.03228185774346618,0.7418079096045198,55.59322033898305,0.0,1.0,0.46879535558780844,0.6732085820617758,0.6960716747070985,0.946843853820598,1.0
additive,40,0.05,708,1770,3122,846,2276,924,0.2709801409352979,0.47796610169491527,3.214689265536723,0.09463276836158192,0.7894736842105263,0.7082728592162555,0.6865743226256634,0.3838731909028256,0.9036544850498339,0.9444444444444444
additive,40,0.1,708,1770,1020,572,448,1198,0.5607843137254902,0.3231638418079096,0.632768361581921,0.2937853107344633,0.10526315789473684,0.7982583454281568,0.7035570588968235,0.20537560303239144,0.8571428571428571,0.8888888888888888
additive,40,0.25,708,1770,272,239,33,1531,0.8786764705882353,0.13502824858757062,0.046610169491525424,0.692090395480226,0.0,0.895500725689405,0.7670261584030483,0.026878015161957272,0.6345514950166113,0.5
additive,40,0.5,708,1770,139,139,0,1631,1.0,0.07853107344632769,0.0,0.8163841807909604,0.0,0.9506531204644412,0.8012676765739978,0.0027567195037904893,0.42524916943521596,0.3888888888888889
additive,41,0.01,708,1770,53350,1411,51939,359,0.026447985004686037,0.7971751412429379,73.36016949152543,0.0,1.0,0.41219158200290273,0.6778532343762272,0.7622329427980703,0.9568106312292359,0.9444444444444444
additive,41,0.05,708,1770,8166,1282,6884,488,0.15699240754347293,0.7242937853107345,9.72316384180791,0.02824858757062147,0.8421052631578947,0.5239477503628447,0.6759339247008921,0.6774638180565128,0.9401993355481728,0.8888888888888888
additive,41,0.1,708,1770,3479,1181,2298,589,0.33946536361023283,0.6672316384180791,3.2457627118644066,0.11016949152542373,0.47368421052631576,0.6052249637155298,0.678661172781649,0.611302549965541,0.9235880398671097,0.8888888888888888
additive,41,0.25,708,1770,1259,833,426,937,0.6616362192216044,0.47062146892655365,0.6016949152542372,0.20480225988700565,0.10526315789473684,0.7692307692307693,0.6869660824278132,0.38662991040661615,0.8604651162790697,0.7222222222222222
additive,41,0.5,708,1770,436,377,59,1393,0.8646788990825688,0.21299435028248587,0.08333333333333333,0.536723163841808,0.05263157894736842,0.8592162554426706,0.7320178334252282,0.1082012405237767,0.7009966777408638,0.5
additive,42,0.01,708,1770,23317,1300,22017,470,0.0557533130334091,0.7344632768361582,31.097457627118644,0.00423728813559322,0.8421052631578947,0.5065312046444121,0.6725059627281293,0.687801516195727,0.9435215946843853,1.0
additive,42,0.05,708,1770,2976,959,2017,811,0.322244623655914,0.5418079096045197,2.848870056497175,0.10875706214689265,0.3157894736842105,0.6966618287373004,0.6774929621078919,0.4665747760165403,0.8803986710963455,0.9444444444444444
additive,42,0.1,708,1770,1329,675,654,1095,0.5079006772009029,0.3813559322033898,0.923728813559322,0.22033898305084745,0.15789473684210525,0.772133526850508,0.6907942623147987,0.2839421088904204,0.8205980066445183,0.8888888888888888
additive,42,0.25,708,1770,427,309,118,1461,0.7236533957845434,0.17457627118644067,0.16666666666666666,0.5805084745762712,0.0,0.8867924528301887,0.738187482073159,0.06340454858718125,0.6810631229235881,0.6666666666666666
additive,42,0.5,708,1770,182,164,18,1606,0.9010989010989011,0.09265536723163842,0.025423728813559324,0.768361581920904,0.0,0.9462989840348331,0.7671908725944045,0.006202618883528601,0.4850498338870432,0.5
additive,43,0.01,708,1770,50317,1486,48831,284,0.02953276228709979,0.8395480225988701,68.97033898305085,0.0,1.0,0.3367198838896952,0.6830344104885175,0.8104755341144039,0.9700996677740864,1.0
additive,43,0.05,708,1770,5794,1248,4546,522,0.21539523645150155,0.7050847457627119,6.4209039548022595,0.02401129943502825,0.7368421052631579,0.5283018867924528,0.682480506648178,0.6505858028945555,0.9501661129568106,1.0
additive,43,0.1,708,1770,2446,1017,1429,753,0.4157808667211774,0.5745762711864407,2.018361581920904,0.1271186440677966,0.3157894736842105,0.6473149492017417,0.6891927792063297,0.4941419710544452,0.9401993355481728,0.9444444444444444
additive,43,0.25,708,1770,707,492,215,1278,0.695898161244696,0.27796610169491526,0.3036723163841808,0.4350282485875706,0.10526315789473684,0.7982583454281568,0.7223809192300362,0.1481736733287388,0.867109634551495,0.8888888888888888
additive,43,0.5,708,1770,259,240,19,1530,0.9266409266409267,0.13559322033898305,0.026836158192090395,0.711864406779661,0.0,0.872278664731495,0.7529609758889895,0.00895933838731909,0.7043189368770764,0.8333333333333334
additive,44,0.01,708,1770,19699,1284,18415,486,0.06518097365348495,0.7254237288135593,26.009887005649716,0.002824858757062147,1.0,0.5297532656023222,0.6699307243971351,0.6905582356995176,0.8837209302325582,0.8888888888888888
additive,44,0.05,708,1770,2341,915,1426,855,0.39085860743272105,0.5169491525423728,2.0141242937853105,0.14548022598870056,0.15789473684210525,0.7808417997097242,0.6722936992544118,0.4720882150241213,0.7308970099667774,0.5555555555555556
additive,44,0.1,708,1770,1137,610,527,1160,0.5364995602462621,0.3446327683615819,0.7443502824858758,0.2740112994350282,0.05263157894736842,0.9100145137880987,0.680888929219681,0.3018607856650586,0.5448504983388704,0.4444444444444444
additive,44,0.25,708,1770,289,198,91,1572,0.6851211072664359,0.11186440677966102,0.1285310734463277,0.6666666666666666,0.0,0.9912917271407837,0.7184765555882039,0.0647829083390765,0.3222591362126246,0.3888888888888889
additive,44,0.5,708,1770,49,43,6,1727,0.8775510204081632,0.024293785310734464,0.00847457627118644,0.9307909604519774,0.0,1.0,0.7749588518961215,0.0013783597518952446,0.132890365448505,0.05555555555555555
fam,40,0.01,708,1770,45984,1486,44498,284,0.03231558803061935,0.8395480225988701,62.85028248587571,0.0,1.0,0.33236574746008707,0.6843412210983852,0.8111647139903515,0.9700996677740864,0.9444444444444444
