acquisition,configuration,family,seed,transformation,kind,magnitude_px,direction,dx_px,dy_px,scale,checkpoint_sha256,n_samples,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,identity_map_50,absolute_delta_map_50,relative_drop_map_50
carnation_0025_0026,historical_additive,historical_locked,40,identity,identity,0,identity,0,0,1.0,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.1249290481209755,0.40432292222976685,0.04252397269010544,0.1249290481209755,-1.0,-1.0,0.05941198766231537,0.2841733396053314,0.35423827171325684,0.40432292222976685,0.0,0.0
carnation_0025_0026,historical_additive,historical_locked,40,scale_090,scale,,,0,0,0.9,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.11053932458162308,0.37420380115509033,0.033245109021663666,0.11053932458162308,-1.0,-1.0,0.05034364387392998,0.27363497018814087,0.3445971608161926,0.40432292222976685,-0.030119121074676514,0.07449273691576792
carnation_0025_0026,historical_additive,historical_locked,40,scale_110,scale,,,0,0,1.1,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.11843588948249817,0.38086432218551636,0.03654772788286209,0.11843588948249817,-1.0,-1.0,0.058381062000989914,0.27319586277008057,0.35124093294143677,0.40432292222976685,-0.02345860004425049,0.05801946601216821
carnation_0025_0026,historical_additive,historical_locked,40,translate_08_down,translation,8,down,0,8,1.0,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.12463803589344025,0.4082983136177063,0.03538431599736214,0.12463803589344025,-1.0,-1.0,0.059774722903966904,0.28419244289398193,0.35280641913414,0.40432292222976685,0.003975391387939453,-0.009832218678119701
carnation_0025_0026,historical_additive,historical_locked,40,translate_08_left,translation,8,left,-8,0,1.0,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.12728530168533325,0.4134598672389984,0.04454838111996651,0.12728530168533325,-1.0,-1.0,0.06282932311296463,0.2893470823764801,0.35662466287612915,0.40432292222976685,0.009136945009231567,-0.022598137545215072
carnation_0025_0026,historical_additive,historical_locked,40,translate_08_right,translation,8,right,8,0,1.0,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.11783544719219208,0.384771466255188,0.03779597952961922,0.11783544719219208,-1.0,-1.0,0.059431079775094986,0.28224512934684753,0.3519282042980194,0.40432292222976685,-0.019551455974578857,0.0483560414204472
carnation_0025_0026,historical_additive,historical_locked,40,translate_08_up,translation,8,up,0,-8,1.0,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.12132195383310318,0.39734452962875366,0.03400805592536926,0.12132195383310318,-1.0,-1.0,0.05964108556509018,0.28270331025123596,0.35240548849105835,0.40432292222976685,-0.006978392601013184,0.01725945331649422
carnation_0025_0026,historical_additive,historical_locked,40,translate_16_down,translation,16,down,0,16,1.0,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.12899352610111237,0.417463481426239,0.04049919545650482,0.12899352610111237,-1.0,-1.0,0.061970219016075134,0.2839442491531372,0.3510309159755707,0.40432292222976685,0.013140559196472168,-0.03250015884334331
carnation_0025_0026,historical_additive,historical_locked,40,translate_16_left,translation,16,left,-16,0,1.0,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.12412215024232864,0.3941625952720642,0.04460528865456581,0.12412215024232864,-1.0,-1.0,0.06101565435528755,0.287514328956604,0.35523101687431335,0.40432292222976685,-0.010160326957702637,0.025129238039907048
carnation_0025_0026,historical_additive,historical_locked,40,translate_16_right,translation,16,right,16,0,1.0,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1313,0.11449435353279114,0.370908260345459,0.041079115122556686,0.11449435353279114,-1.0,-1.0,0.05973654240369797,0.2769377529621124,0.35196641087532043,0.40432292222976685,-0.03341466188430786,0.08264350114020774
