method,family,stage,evaluation_split,seed,budget_epochs,best_epoch,best_map50,latest_epoch,latest_checkpoint_name,latest_map50,run_id,artifact_directory,best_metric_source,latest_metric_source,source_manifest_sha256,serialized_best_replay_map50,serialized_best_replay_absolute_error
rtdetr_fam,RT-DETR,A,FHL_0401_VIS_0402_IR,40,10,1,0.1521475464105606,10,latest,0.03973805531859398,m7xjslb6,wandb/run-20260814_203405-m7xjslb6/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,,,
rtdetr_fam,RT-DETR,A,FHL_0401_VIS_0402_IR,41,10,4,0.14235958456993103,10,latest,0.10302940756082535,2kil4xq9,wandb/run-20260814_232554-2kil4xq9/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,,,
rtdetr_fam,RT-DETR,A,FHL_0401_VIS_0402_IR,42,10,6,0.16546642780303955,10,latest,0.09459450095891953,fu87g1i2,wandb/run-20260815_020741-fu87g1i2/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,,,
rtdetr_fam,RT-DETR,A,FHL_0401_VIS_0402_IR,43,10,1,0.19393183290958405,10,latest,0.07898081839084625,pz5tzni4,wandb/run-20260815_051325-pz5tzni4/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,,,
rtdetr_fam,RT-DETR,A,FHL_0401_VIS_0402_IR,44,10,1,0.16890789568424225,10,latest,0.10372947156429291,398272cv,wandb/run-20260815_081411-398272cv/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,,,
rtdetrv2_additive,RT-DETRv2,A,FHL_0401_VIS_0402_IR,40,10,1,0.16599026322364807,10,latest,0.12476658821105957,lgxlfiul,wandb/run-20260909_101400-lgxlfiul/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,e63ac26308d3a9e7651d216901f093492815dfe3c787c994b63482130a61d9bd,,
rtdetrv2_additive,RT-DETRv2,A,FHL_0401_VIS_0402_IR,41,10,2,0.14520874619483948,10,latest,0.099085234105587,507lzb8j,wandb/run-20260909_122112-507lzb8j/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,e63ac26308d3a9e7651d216901f093492815dfe3c787c994b63482130a61d9bd,,
rtdetrv2_additive,RT-DETRv2,A,FHL_0401_VIS_0402_IR,42,10,2,0.15151476860046387,10,latest,0.07414980232715607,ibuz7zvn,wandb/run-20260909_135544-ibuz7zvn/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,e63ac26308d3a9e7651d216901f093492815dfe3c787c994b63482130a61d9bd,,
rtdetrv2_additive,RT-DETRv2,A,FHL_0401_VIS_0402_IR,43,10,3,0.14676108956336975,10,latest,0.13561275601387024,lgbx26q5,wandb/run-20260909_152930-lgbx26q5/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,e63ac26308d3a9e7651d216901f093492815dfe3c787c994b63482130a61d9bd,,
rtdetrv2_additive,RT-DETRv2,A,FHL_0401_VIS_0402_IR,44,10,1,0.1624123454093933,10,latest,0.020498525351285934,swsd8j7e,wandb/run-20260909_172048-swsd8j7e/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,e63ac26308d3a9e7651d216901f093492815dfe3c787c994b63482130a61d9bd,,
rtdetrv2_fam,RT-DETRv2,A,FHL_0401_VIS_0402_IR,40,10,4,0.14190377295017242,10,latest,0.11843568831682205,qtn4q7o2,wandb/run-20260909_185621-qtn4q7o2/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,e63ac26308d3a9e7651d216901f093492815dfe3c787c994b63482130a61d9bd,,
rtdetrv2_fam,RT-DETRv2,A,FHL_0401_VIS_0402_IR,41,10,1,0.19957372546195984,10,latest,0.0909188985824585,7czzhih7,wandb/run-20260909_211447-7czzhih7/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,e63ac26308d3a9e7651d216901f093492815dfe3c787c994b63482130a61d9bd,,
rtdetrv2_fam,RT-DETRv2,A,FHL_0401_VIS_0402_IR,42,10,4,0.1967320591211319,10,latest,0.09126605838537216,v708pomn,wandb/run-20260909_233247-v708pomn/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,e63ac26308d3a9e7651d216901f093492815dfe3c787c994b63482130a61d9bd,,
rtdetrv2_fam,RT-DETRv2,A,FHL_0401_VIS_0402_IR,43,10,1,0.18632550537586212,10,latest,0.08051321655511856,54cdznc5,wandb/run-20260910_015118-54cdznc5/files,wandb-summary.json:best_map_50,wandb-summary.json:validate/map_50,e63ac26308d3a9e7651d216901f093492815dfe3c787c994b63482130a61d9bd,,
