configuration,seed,modality,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100
additive,40,ir,0.010174156166613102,0.028742188587784767,0.009935174137353897,-1.0,0.0008304895018227398,0.023888781666755676,0.013728813268244267,0.03632768243551254,0.08305084705352783
additive,41,ir,0.005370877217501402,0.025946002453565598,0.0005021576653234661,-1.0,0.0018315091729164124,0.013213559053838253,0.014576271176338196,0.0402824841439724,0.10045197606086731
additive,42,ir,0.007944581098854542,0.025682518258690834,0.0014204818289726973,-1.0,0.000584724941290915,0.016661029309034348,0.009774011559784412,0.028248587623238564,0.08084745705127716
additive,43,ir,0.009657035581767559,0.03287391737103462,0.009949363768100739,-1.0,0.0004888866096735001,0.02182232402265072,0.010395480319857597,0.03819208964705467,0.09728813916444778
additive,44,ir,0.007028759457170963,0.025137927383184433,0.0016807480715215206,-1.0,0.0010566996643319726,0.01693485677242279,0.013389830477535725,0.0329943485558033,0.08909604698419571
fam,40,ir,0.011545458808541298,0.037452176213264465,0.009977627545595169,-1.0,0.0008414710173383355,0.027194418013095856,0.017853107303380966,0.04395480081439018,0.10683615505695343
fam,41,ir,0.00901458878070116,0.036384910345077515,0.0004743709578178823,-1.0,0.0015678077470511198,0.021204477176070213,0.01807909645140171,0.04175141081213951,0.09440677613019943
fam,42,ir,0.008468643762171268,0.0355897955596447,0.0017612442607060075,-1.0,0.001307676313444972,0.0197514109313488,0.013728813268244267,0.03672316297888756,0.09655367583036423
fam,43,ir,0.008698245510458946,0.037441838532686234,0.0018521929159760475,-1.0,0.0005853173788636923,0.025101132690906525,0.01666666753590107,0.035141244530677795,0.10372881591320038
fam,44,ir,0.008411162532866001,0.0377345010638237,0.002027019625529647,-1.0,0.001057006185874343,0.021421639248728752,0.015536722727119923,0.03401130065321922,0.09457626938819885
additive,40,vis,0.06032872200012207,0.1710076481103897,0.03484558314085007,-1.0,0.010911769233644009,0.1680992692708969,0.07011299580335617,0.13163842260837555,0.17966102063655853
additive,41,vis,0.07345986366271973,0.19952347874641418,0.04122941568493843,-1.0,0.019816303625702858,0.1744052916765213,0.07485875487327576,0.13073445856571198,0.17112994194030762
additive,42,vis,0.08523894846439362,0.20927920937538147,0.05617958679795265,-1.0,0.014641026966273785,0.21538829803466797,0.08276835829019547,0.12994350492954254,0.15734463930130005
additive,43,vis,0.06966616213321686,0.17838355898857117,0.04382000491023064,-1.0,0.01262334082275629,0.1853768676519394,0.07265536487102509,0.12079095840454102,0.14734463393688202
additive,44,vis,0.08820531517267227,0.2240324169397354,0.05314268544316292,-1.0,0.021156873553991318,0.2046809047460556,0.07587570697069168,0.13350282609462738,0.16468927264213562
fam,40,vis,0.06270793080329895,0.15471391379833221,0.04072188585996628,-1.0,0.009340900927782059,0.16392049193382263,0.06887006014585495,0.10451977699995041,0.13180790841579437
fam,41,vis,0.08826342225074768,0.24400675296783447,0.04816209897398949,-1.0,0.019262097775936127,0.20694948732852936,0.07751412689685822,0.14683616161346436,0.18542373180389404
fam,42,vis,0.06818988919258118,0.17788778245449066,0.03673357889056206,-1.0,0.013746233657002449,0.17796854674816132,0.06751412153244019,0.1098870038986206,0.1351977437734604
fam,43,vis,0.08531845360994339,0.22809387743473053,0.04510326310992241,-1.0,0.020159970968961716,0.2027568817138672,0.08288135379552841,0.1424858719110489,0.18084745109081268
fam,44,vis,0.05959450453519821,0.15985985100269318,0.035714130848646164,-1.0,0.020338593050837517,0.13585704565048218,0.06101695075631142,0.11344632506370544,0.14508473873138428
additive,40,vis_ir,0.07930473983287811,0.23207668960094452,0.03693464398384094,-1.0,0.025138039141893387,0.19156786799430847,0.08152542263269424,0.15367232263088226,0.20062147080898285
additive,41,vis_ir,0.09060855209827423,0.2750600278377533,0.03754705935716629,-1.0,0.03877471759915352,0.190098837018013,0.08915254473686218,0.16158191859722137,0.19971750676631927
additive,42,vis_ir,0.09326944500207901,0.25060713291168213,0.046933311969041824,-1.0,0.02765187993645668,0.2168230265378952,0.089322030544281,0.1420339047908783,0.17220339179039001
additive,43,vis_ir,0.07809051126241684,0.21739938855171204,0.04307492822408676,-1.0,0.021843723952770233,0.18243059515953064,0.07858756929636002,0.1296045184135437,0.1726553738117218
additive,44,vis_ir,0.10337796807289124,0.2738039791584015,0.053502406924963,-1.0,0.034434739500284195,0.22170305252075195,0.09406779706478119,0.14915254712104797,0.17983050644397736
fam,40,vis_ir,0.07321057468652725,0.1903766393661499,0.045771826058626175,-1.0,0.014461999759078026,0.17946471273899078,0.07915253937244415,0.12395480275154114,0.15627118945121765
fam,41,vis_ir,0.09582377970218658,0.27614647150039673,0.04831714183092117,-1.0,0.029145099222660065,0.2039993703365326,0.08254237473011017,0.1658192127943039,0.20124293863773346
fam,42,vis_ir,0.07276889681816101,0.19651345908641815,0.038381580263376236,-1.0,0.01605135016143322,0.18733486533164978,0.07158192247152328,0.11841808259487152,0.14531072974205017
fam,43,vis_ir,0.09428149461746216,0.2618740200996399,0.0503496378660202,-1.0,0.027660654857754707,0.21266919374465942,0.08615819364786148,0.1555367261171341,0.19186440110206604
fam,44,vis_ir,0.06453438848257065,0.18170329928398132,0.03559119999408722,-1.0,0.02425430342555046,0.14612486958503723,0.06615819036960602,0.12406779825687408,0.15412428975105286
