seed,level,level_label,logit,alpha,abs_delta_one
40,0,P3,-0.048701412975788116,0.975654125213623,0.024345874786376953
40,1,P4,-0.018185533583164215,0.9909074306488037,0.009092569351196289
40,2,P5,-0.0023856943007558584,0.9988071918487549,0.0011928081512451172
41,0,P3,-0.09607815742492676,0.9519978165626526,0.04800218343734741
41,1,P4,-0.05644426494836807,0.971785306930542,0.028214693069458008
41,2,P5,-0.009540083818137646,0.995229959487915,0.004770040512084961
42,0,P3,-0.10620593279600143,0.9469467997550964,0.053053200244903564
42,1,P4,-0.0626726970076561,0.9686739444732666,0.0313260555267334
42,2,P5,-0.007805036846548319,0.9960975050926208,0.0039024949073791504
43,0,P3,-0.07350253313779831,0.9632652401924133,0.03673475980758667
43,1,P4,-0.03724716603755951,0.9813785552978516,0.018621444702148438
43,2,P5,-0.006650062743574381,0.9966748952865601,0.0033251047134399414
44,0,P3,-0.09974870830774307,0.9501669406890869,0.049833059310913086
44,1,P4,-0.03793086111545563,0.9810367822647095,0.018963217735290527
44,2,P5,-0.023474333807826042,0.9882633686065674,0.011736631393432617
