acquisition,configuration,seed,fppi_budget,recall,within_collected_support,attained_fppi,threshold,reject_all,tp,fp,checkpoint_sha256
carnation_0025_0026,historical_additive,40,0.1,0.16991218022145857,True,0.09977151561309977,0.2122684270143509,False,890,131,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105
carnation_0025_0026,historical_additive,40,0.5,0.3547155402825506,True,0.49961919268849964,0.10957752913236618,False,1858,656,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105
carnation_0025_0026,historical_additive,40,1.0,0.4408171057655594,True,1.0,0.08469995856285095,False,2309,1313,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105
carnation_0025_0026,historical_additive,41,0.1,0.2256586483390607,True,0.09977151561309977,0.4084120988845825,False,1182,131,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf
carnation_0025_0026,historical_additive,41,0.5,0.43031691485299733,True,0.49961919268849964,0.15932460129261017,False,2254,656,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf
carnation_0025_0026,historical_additive,41,1.0,0.4893088965253914,True,1.0,0.11510427296161652,False,2563,1313,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf
carnation_0025_0026,historical_additive,42,0.1,0.13592974417716686,True,0.09977151561309977,0.26729631423950195,False,712,131,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7
carnation_0025_0026,historical_additive,42,0.5,0.27128675066819397,True,0.49961919268849964,0.12833240628242493,False,1421,656,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7
carnation_0025_0026,historical_additive,42,1.0,0.3421153111874761,True,1.0,0.08288193494081497,False,1792,1313,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7
carnation_0025_0026,historical_additive,43,0.1,0.2367315769377625,True,0.09977151561309977,0.4289257824420929,False,1240,131,65f83dbeab40096434b7d5a80a5af24bd681f6054ade4aa28ea1bd30ddc7f746
carnation_0025_0026,historical_additive,43,0.5,0.45494463535700647,True,0.49961919268849964,0.16102568805217743,False,2383,656,65f83dbeab40096434b7d5a80a5af24bd681f6054ade4aa28ea1bd30ddc7f746
carnation_0025_0026,historical_additive,43,1.0,0.5471554028255059,True,1.0,0.1081087663769722,False,2866,1313,65f83dbeab40096434b7d5a80a5af24bd681f6054ade4aa28ea1bd30ddc7f746
carnation_0025_0026,historical_additive,44,0.1,0.13020236731576937,True,0.09977151561309977,0.3242190480232239,False,682,131,fd46e18899cadec44272723306848d742aba4715474cd3789c6951c8e6afef20
carnation_0025_0026,historical_additive,44,0.5,0.33276059564719357,True,0.49961919268849964,0.13176032900810242,False,1743,656,fd46e18899cadec44272723306848d742aba4715474cd3789c6951c8e6afef20
carnation_0025_0026,historical_additive,44,1.0,0.43432607865597556,True,1.0,0.0750632956624031,False,2275,1313,fd46e18899cadec44272723306848d742aba4715474cd3789c6951c8e6afef20
carnation_0025_0026,historical_fam,40,0.1,0.2796869033982436,True,0.09977151561309977,0.40546563267707825,False,1465,131,c77d749c30ed5872c0c81a96c4d64f9ebf7912208b16c964c2f0405732dda13a
carnation_0025_0026,historical_fam,40,0.5,0.43356242840778925,True,0.49961919268849964,0.15694931149482727,False,2271,656,c77d749c30ed5872c0c81a96c4d64f9ebf7912208b16c964c2f0405732dda13a
carnation_0025_0026,historical_fam,40,1.0,0.49828178694158076,True,1.0,0.11135536432266235,False,2610,1313,c77d749c30ed5872c0c81a96c4d64f9ebf7912208b16c964c2f0405732dda13a
carnation_0025_0026,historical_fam,41,0.1,0.36292478045055365,True,0.09977151561309977,0.3514491021633148,False,1901,131,5fcafd3a5b197456a39bde55b1e1d5a5c1639b5cf4f67bf1ad57dd763e241640
carnation_0025_0026,historical_fam,41,0.5,0.5337915234822451,True,0.49961919268849964,0.1398560106754303,False,2796,656,5fcafd3a5b197456a39bde55b1e1d5a5c1639b5cf4f67bf1ad57dd763e241640
carnation_0025_0026,historical_fam,41,1.0,0.5971744940817105,True,1.0,0.09338859468698502,False,3128,1313,5fcafd3a5b197456a39bde55b1e1d5a5c1639b5cf4f67bf1ad57dd763e241640
carnation_0025_0026,historical_fam,42,0.1,0.22279495990836198,True,0.09977151561309977,0.3167794346809387,False,1167,131,b96ef8496088911d50d03a6061fe625cec8e17b17a4f1245a49b5b43e3703497
carnation_0025_0026,historical_fam,42,0.5,0.4138984345169912,True,0.49961919268849964,0.1500099152326584,False,2168,656,b96ef8496088911d50d03a6061fe625cec8e17b17a4f1245a49b5b43e3703497
carnation_0025_0026,historical_fam,42,1.0,0.4956090110729286,True,1.0,0.10602183640003204,False,2596,1313,b96ef8496088911d50d03a6061fe625cec8e17b17a4f1245a49b5b43e3703497
carnation_0025_0026,historical_fam,43,0.1,0.23100420007636502,True,0.09977151561309977,0.5327661633491516,False,1210,131,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536
carnation_0025_0026,historical_fam,43,0.5,0.5133638793432608,True,0.49961919268849964,0.1912952959537506,False,2689,656,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536
carnation_0025_0026,historical_fam,43,1.0,0.6101565483008782,True,1.0,0.13262228667736053,False,3196,1313,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536
carnation_0025_0026,historical_fam,44,0.1,0.23864070255822833,True,0.09977151561309977,0.21339471638202667,False,1250,131,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e
carnation_0025_0026,historical_fam,44,0.5,0.43986254295532645,True,0.49961919268849964,0.08531858026981354,False,2304,656,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e
carnation_0025_0026,historical_fam,44,1.0,0.5322642229858725,True,1.0,0.06158965826034546,False,2788,1313,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e
fhl_0407_0408,historical_additive,40,0.1,0.12561819980217606,True,0.09951690821256039,0.22124643623828888,False,254,103,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105
fhl_0407_0408,historical_additive,40,0.5,0.2626112759643917,True,0.4995169082125604,0.13343670964241028,False,531,517,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105
fhl_0407_0408,historical_additive,40,1.0,0.35756676557863504,True,1.0,0.09826156497001648,False,723,1035,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105
fhl_0407_0408,historical_additive,41,0.1,0.2032640949554896,True,0.09951690821256039,0.6150162816047668,False,411,103,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf
fhl_0407_0408,historical_additive,41,0.5,0.466864490603363,True,0.4995169082125604,0.33944153785705566,False,944,517,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf
fhl_0407_0408,historical_additive,41,1.0,0.5692383778437191,True,1.0,0.2249295711517334,False,1151,1035,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf
fhl_0407_0408,historical_additive,42,0.1,0.18644906033630068,True,0.09951690821256039,0.29800304770469666,False,377,103,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7
fhl_0407_0408,historical_additive,42,0.5,0.4218595450049456,True,0.4995169082125604,0.1786569058895111,False,853,517,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7
fhl_0407_0408,historical_additive,42,1.0,0.536597428288823,True,1.0,0.12031213939189911,False,1085,1035,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7
fhl_0407_0408,historical_additive,43,0.1,0.22354104846686448,True,0.09951690821256039,0.3498097360134125,False,452,103,65f83dbeab40096434b7d5a80a5af24bd681f6054ade4aa28ea1bd30ddc7f746
fhl_0407_0408,historical_additive,43,0.5,0.4391691394658754,True,0.4995169082125604,0.23322145640850067,False,888,517,65f83dbeab40096434b7d5a80a5af24bd681f6054ade4aa28ea1bd30ddc7f746
