acquisition,seed,fppi_budget,additive_recall,fam_recall,paired_delta
mterie,40,0.1,0.16836158192090395,0.21468926553672316,0.04632768361581921
mterie,41,0.1,0.22768361581920904,0.27570621468926554,0.0480225988700565
mterie,42,0.1,0.14632768361581922,0.1824858757062147,0.036158192090395475
mterie,43,0.1,0.17175141242937852,0.21412429378531073,0.0423728813559322
mterie,44,0.1,0.09096045197740113,0.2214689265536723,0.13050847457627118
mterie,40,0.5,0.29548022598870055,0.4491525423728814,0.15367231638418083
mterie,41,0.5,0.4480225988700565,0.5553672316384181,0.10734463276836154
mterie,42,0.5,0.2824858757062147,0.30677966101694915,0.02429378531073445
mterie,43,0.5,0.34293785310734465,0.4265536723163842,0.08361581920903954
mterie,44,0.5,0.26384180790960454,0.4457627118644068,0.18192090395480226
mterie,40,1.0,0.3615819209039548,0.5548022598870056,0.1932203389830508
mterie,41,1.0,0.5322033898305085,0.6333333333333333,0.10112994350282478
mterie,42,1.0,0.39152542372881355,0.41694915254237286,0.02542372881355931
mterie,43,1.0,0.45254237288135596,0.5485875706214689,0.09604519774011294
mterie,44,1.0,0.4101694915254237,0.5305084745762711,0.12033898305084745
carnation_0025_0026,40,0.1,0.16991218022145857,0.2796869033982436,0.10977472317678502
carnation_0025_0026,41,0.1,0.2256586483390607,0.36292478045055365,0.13726613211149294
carnation_0025_0026,42,0.1,0.13592974417716686,0.22279495990836198,0.08686521573119513
carnation_0025_0026,43,0.1,0.2367315769377625,0.23100420007636502,-0.005727376861397487
carnation_0025_0026,44,0.1,0.13020236731576937,0.23864070255822833,0.10843833524245897
carnation_0025_0026,40,0.5,0.3547155402825506,0.43356242840778925,0.07884688812523866
carnation_0025_0026,41,0.5,0.43031691485299733,0.5337915234822451,0.10347460862924779
carnation_0025_0026,42,0.5,0.27128675066819397,0.4138984345169912,0.14261168384879724
carnation_0025_0026,43,0.5,0.45494463535700647,0.5133638793432608,0.05841924398625431
carnation_0025_0026,44,0.5,0.33276059564719357,0.43986254295532645,0.10710194730813288
carnation_0025_0026,40,1.0,0.4408171057655594,0.49828178694158076,0.05746468117602138
carnation_0025_0026,41,1.0,0.4893088965253914,0.5971744940817105,0.10786559755631914
carnation_0025_0026,42,1.0,0.3421153111874761,0.4956090110729286,0.15349369988545247
carnation_0025_0026,43,1.0,0.5471554028255059,0.6101565483008782,0.06300114547537228
carnation_0025_0026,44,1.0,0.43432607865597556,0.5322642229858725,0.09793814432989695
fhl_0407_0408,40,0.1,0.12561819980217606,0.39317507418397624,0.2675568743818002
fhl_0407_0408,41,0.1,0.2032640949554896,0.25865479723046486,0.05539070227497525
fhl_0407_0408,42,0.1,0.18644906033630068,0.24777448071216618,0.0613254203758655
fhl_0407_0408,43,0.1,0.22354104846686448,0.2665677546983185,0.04302670623145402
fhl_0407_0408,44,0.1,0.0771513353115727,0.22255192878338279,0.14540059347181009
fhl_0407_0408,40,0.5,0.2626112759643917,0.5949554896142433,0.33234421364985156
fhl_0407_0408,41,0.5,0.466864490603363,0.5143422354104846,0.047477744807121636
fhl_0407_0408,42,0.5,0.4218595450049456,0.43867457962413453,0.01681503461918893
fhl_0407_0408,43,0.5,0.4391691394658754,0.5929772502472799,0.1538081107814045
fhl_0407_0408,44,0.5,0.3115727002967359,0.5004945598417408,0.18892185954500496
fhl_0407_0408,40,1.0,0.35756676557863504,0.6760633036597429,0.31849653808110784
fhl_0407_0408,41,1.0,0.5692383778437191,0.6592482690405539,0.09000989119683478
fhl_0407_0408,42,1.0,0.536597428288823,0.5544015825914935,0.017804154302670572
fhl_0407_0408,43,1.0,0.5489614243323442,0.6780415430267063,0.1290801186943621
fhl_0407_0408,44,1.0,0.4391691394658754,0.5870425321463897,0.1478733926805143
